,1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Severity
214,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
215,M1,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
216,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
217,A647,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
218,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
219,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Serious
220,A6120,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Fatal
221,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
222,A660,Dry,Daylight: Street lights present,Fine without high winds,Car0,Serious
223,B6159,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle 12Motorcycle over 500cccc to Motorcycle over 500cc00cc,Serious
224,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Pedal cycleCar,Slight
225,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Pedal cycleCar,Slight
226,M62,Dry,Darkness: Street lights present but unlit,Fine without high winds,Car,Slight
227,M62,Dry,Darkness: Street lights present but unlit,Fine without high winds,Car,Slight
228,M62,Dry,Darkness: Street lights present but unlit,Fine without high winds,Car,Slight
229,M62,Dry,Darkness: Street lights present but unlit,Fine without high winds,Car,Slight
230,M62,Dry,Darkness: Street lights present but unlit,Fine without high winds,Car,Slight
231,M62,Dry,Darkness: Street lights present but unlit,Fine without high winds,Car,Slight
232,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
233,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
234,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
235,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
236,A647,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Motorcycle 12Motorcycle over 500cccc to Motorcycle over 500cc00cc,Fatal
237,A647,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
238,A647,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Serious
239,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
240,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
241,A58,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
242,U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Pedal cycleCar,Serious
243,B6159,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
244,U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Slight
245,A650,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
246,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
247,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
248,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
249,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
250,A643,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
251,A643,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
252,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
253,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
254,A65,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Motorcycle over 500cc,Slight
255,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
256,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Slight
257,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Serious
258,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
259,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Serious
260,A58(M),Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
