1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Severity
U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
A6110,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
A650,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
A64,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Serious
A639,Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
B6157,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Serious
B6157,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Serious
B6157,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Slight
U,Wet/Damp,Darkness: Street lights present and lit,Raining with high winds,Car,Serious
U,Wet/Damp,Darkness: Street lights present and lit,Raining with high winds,Car,Slight
A65,Wet/Damp,Daylight: Street lights present,Fog or mist (if hazard),Pedal cycle,Slight
A6110,Wet/Damp,Daylight: Street lights present,Raining without high winds,Taxi/Private hire car,Slight
U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
B6159,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Serious
U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Slight
A65,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Slight
A58,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
M62,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
M62,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
A63,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
A63,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
M62,Dry,Darkness: No street lighting,Fine without high winds,Car,Slight
M62,Dry,Darkness: No street lighting,Fine without high winds,Car,Serious
M62,Dry,Darkness: No street lighting,Fine without high winds,Car,Serious
M62,Dry,Darkness: No street lighting,Fine without high winds,Car,Serious
M62,Dry,Darkness: No street lighting,Fine without high winds,Car,Serious
U,Wet/Damp,Daylight: Street lights present,Other,Car,Slight
U,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Slight
U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
A61,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
U,Dry,Daylight: Street lights present,Fine without high winds,Car,Serious
A6110,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Slight
A647,Wet/Damp,Darkness: Street lights present and lit,Raining with high winds,Car,Slight
A647,Wet/Damp,Darkness: Street lights present and lit,Raining with high winds,Car,Slight
A653,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Slight
U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Pedal cycle,Slight
B6159,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
A647,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Slight
U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Serious
A639,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle over 500cc,Serious
U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
U,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
U,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Slight
U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cyclePedal cycle,Slight
U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Slight
M1,Dry,Darkness: No street lighting,Fine without high winds,Car,Slight
M1,Dry,Darkness: No street lighting,Fine without high winds,Car,Slight
M1,Dry,Darkness: No street lighting,Fine without high winds,Car,Serious
U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Slight
U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Taxi/Private hire car,Slight
U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Taxi/Private hire car,Slight
U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Taxi/Private hire car,Slight
U,Wet/Damp,Darkness: Street lights present and lit and lit,Raining without high winds,Car7,Serious
B6154,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
U,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Serious
M621,Dry,Daylight: Street lights present,Fine without high winds,Car,Slight
A62,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Slight
M62,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Slight
